Project,Client,Title,Duration
sos1819-jun-acp,,#1 5. Haber leído todas las noticias en piazza,02:16:55
sos1819-jun-acp,,#1 Instalar y configurar la extensión de Chrome de Toggl Button,00:00:02
sos1819-jun-acp,,#10 D03.A,00:01:58
sos1819-jun-acp,,#11 F02,00:00:19
sos1819-jun-acp,,#2 6. Tener dentro de la carpeta “public”,00:45:01
sos1819-jun-acp,,#3 Tener Instalado la herramienta POSTMAN,03:03:32
sos1819-jun-acp,,#5 Tarea Feedback03,00:01:12
sos1819-jun-acp,,#7 4. Tener al menos 3 horas dedicadas registradas.,08:52:04
sos1819-jun-acp,,"#9 Tarea 6, feedback 3",03:30:55
sos1819-jun-acp,,D02,08:15:00
sos1819-jun-acp,,D03,04:58:00
sos1819-jun-acp,,F0,03:35:00
sos1819-jun-acp,,F01,03:21:00
sos1819-jun-acp,,F02,02:56:00
sos1819-jun-acp,,F04,05:00:00
sos1819-jun-acp,,F05,10:41:00
sos1819-jun-acp,,F06,09:41:00
sos1819-jun-acp,,F07,11:34:00
sos1819-jun-acp,,F08,19:51:00
sos1819-jun-acp,,SOS,00:00:02
sos1819-jun-acp,,,17:10:47
SOS1819-jun-antgarfer12,,Convocatoria junio dia 1,18:57:00
,,#1 Hacer L02,00:02:55
,,#2 Tener instalado Chrome,00:00:15
,,#4 Punto 1,00:00:13
,,#4 Tarea Feedback03,00:00:32
,,#5 Tarea 8 F02,03:00:43
,,Tener instalado Chrome,00:02:59
,,,00:00:07
